ref,current_recall_status,TITLE,URL,MODULES,COMMITS
pull/711,curated_match,rlp: input limit and other corrections,https://github.com/ethereum/go-ethereum/pull/711,"{'util': 10, 'p2p': 3, 'network': 2, 'consensus': 1, 'ui': 2, 'policy': 1}","{'cad64fb911e7029bef876f16e0956b3b0b4bb4d0', '2750ec47b7e7ff864eaed72255581e11080907d7', '1e2c93aa2da453ef9548b9957b5ed453f60ce5ca', '4d5a518a0ba7b0f1d42c73f3c28fe0828e7ea974', 'c35f4fd0bd93bcab01ba7704fc144514a2cc7a1b', '509d0a8d78236562d9444a6fe851aec3cee5bb5e', '6e9f8035a1a49ac096bc2eae6ec4637b48e29048', 'eedbb1ee9a2164cd58e9fd305bc719a4c643f1a2', '6788f955c2414b025a4ea44efaf51caf50aa97f0', '56a48101dc3dd96587915a5d7882f9d46ecc6ae9', '574d5d6ae6076c534d314c600ee0e6c0c161cc36', '7180699d401e64b52447ccb2cfb33004b7deb672', '9c7281c17ebbdd6a8c10ecc618bcb9121215a21f'}"
pull/820,curated_match,rlp: fix list bounds check overflow (found by go-fuzz),https://github.com/ethereum/go-ethereum/pull/820,{'util': 1},"{'dd49c8e43d394b78d97a4f7cf7a74ddadcda5323', 'a7d894611e8588716be70f2eb1375f8aebcdf608'}"
pull/911,curated_match,"rpc, xeth: fix #881, gracefully handle offline whisper",https://github.com/ethereum/go-ethereum/pull/911,{'rpc': 3},"{'6674ea8d67012a8ad1227738c69b8997962fe141', '0ad5898c0f9b0d777818d89356b74606f4b3c988'}"
pull/954,curated_match,eth/downloader: fix nil panic caused by wrong variable use,https://github.com/ethereum/go-ethereum/pull/954,{'network': 1},"{'910a6d4e46dfb06a671ef68c8d90c66cab107d27', '3edc4698fed7f22df8b6cb3574f1c3b633094c4e'}"
issues/1007,not_collected,go panic,https://github.com/ethereum/go-ethereum/issues/1007,{'consensus': 1},{'741fa8ca9cf5981805af16d5d9fc9adc31400320'}
issues/1082,not_collected,"Geth console, panic at setInterval / setTimeout etc..",https://github.com/ethereum/go-ethereum/issues/1082,{'others': 1},"{'de75d542f37a4aa3574c788cec522994ac537f1d', 'f27e826b140089cbeb722feec96b1aae3e7645a3'}"
issues/1147,not_collected,SEC-49 JUMPDEST vulnerability,https://github.com/ethereum/go-ethereum/issues/1147,{'evm': 3},{'ea2718c9462ae351baab5eaa05a7e1ef9dc916fa'}
issues/1154,not_collected,panic: runtime error: index out of range -- chain_manager,https://github.com/ethereum/go-ethereum/issues/1154,{'consensus': 1},"{'a906a84950f84a3cae178b2aca49fa6bba54a4c9', 'b7fc85d68ea22a99222ba8535be8ff6410826644'}"
issues/1231,not_collected,SEC-45 DoS in hash downloader ,https://github.com/ethereum/go-ethereum/issues/1231,{'network': 2},{'d6f2c0a76f6635ebeb245815c5f686c545ed527d'}
issues/1232,not_collected,SEC-46 Sanitise all ethash input,https://github.com/ethereum/go-ethereum/issues/1232,{'external': 4},{'8774fdcd64ffe55bbd5d47cd1479a626506d8f01'}
issues/1264,not_collected,SEC-47 Block header mixdigest field not validated,https://github.com/ethereum/go-ethereum/issues/1264,{'external': 5},{'a3fdef7529e9b58b73d5eb033a2411fafbc9a1f1'}
issues/1266,not_collected,SEC-48 DoS in transaction pool,https://github.com/ethereum/go-ethereum/issues/1266,"{'util': 1, 'consensus': 4, 'node': 1, 'rpc': 2}",{'cc0b451119478ba4a005ec8840573252636f45dc'}
issues/1280,not_collected,Downloader not processing cached blocks,https://github.com/ethereum/go-ethereum/issues/1280,{'network': 1},"{'4a1e82cf3f7a5c9d7526fc01aa68466870e2a644', 'e4b54f18c6db9f43a4d6cf2916df664bf30c8171'}"
issues/1319,not_collected,SEC-51 Peer NewBlockMsg DoS,https://github.com/ethereum/go-ethereum/issues/1319,{'node': 1},{'5db8f447d597e55718263ba5ed1770290e3e0893'}
issues/1320,not_collected,SEC-52 Network DoS from re-broadcast of txs with zero gas price,https://github.com/ethereum/go-ethereum/issues/1320,{'network': 2},{'052901509166acd546b0a086327d89d639dce328'}
issues/1352,not_collected,SEC-52 block header timestamp int64 overflow,https://github.com/ethereum/go-ethereum/issues/1352,"{'ui': 1, 'consensus': 5, 'evm': 2}",{'2e5242f9bbbf8412fa5b6e94da942e69570d860d'}
issues/1371,not_collected,"Maybe fetcher deadlock, maybe wifi issues",https://github.com/ethereum/go-ethereum/issues/1371,{'node': 1},{'1ae80aaf64c5acfde19fee5ee3bc4579db7ea76e'}
issues/1384,not_collected,SEC-53 DoS in block_processor on txs with invalid EC sig,https://github.com/ethereum/go-ethereum/issues/1384,"{'consensus': 1, 'evm': 2}",{'46e7c8512edd6de49c546467505673155ebbd1c2'}
issues/14495,not_collected,Segfault with CPU mining,https://github.com/ethereum/go-ethereum/issues/14495,{'consensus': 6},{'924065e19d08cc7e6af0b3a5b5b1ef3785b79bd4'}
